Freq.	V(n006)
1.00000000000000e+01	(-1.06437561485134e+02dB,-3.43842019772109e+00∞)
1.02329299228075e+01	(-1.05635802854572e+02dB,-3.51878000481059e+00∞)
1.04712854805090e+01	(-1.04833961081867e+02dB,-3.60103092346510e+00∞)
1.07151930523761e+01	(-1.04032032223423e+02dB,-3.68521839198961e+00∞)
1.09647819614319e+01	(-1.03230012147345e+02dB,-3.77138900750077e+00∞)
1.12201845430196e+01	(-1.02427896524316e+02dB,-3.85959056023669e+00∞)
1.14815362149688e+01	(-1.01625680818039e+02dB,-3.94987206920600e+00∞)
1.17489755493953e+01	(-1.00823360275192e+02dB,-4.04228381924830e+00∞)
1.20226443461741e+01	(-1.00020929914883e+02dB,-4.13687739958262e+00∞)
1.23026877081238e+01	(-9.92183845175817e+01dB,-4.23370574392582e+00∞)
1.25892541179417e+01	(-9.84157186134898e+01dB,-4.33282317226886e+00∞)
1.28824955169313e+01	(-9.76129264703301e+01dB,-4.43428543440419e+00∞)
1.31825673855641e+01	(-9.68100020805166e+01dB,-4.53814975530502e+00∞)
1.34896288259165e+01	(-9.60069391476759e+01dB,-4.64447488246337e+00∞)
1.38038426460288e+01	(-9.52037310724834e+01dB,-4.75332113530193e+00∞)
1.41253754462275e+01	(-9.44003709377777e+01dB,-4.86475045678330e+00∞)
1.44543977074593e+01	(-9.35968514929133e+01dB,-4.97882646734808e+00∞)
1.47910838816821e+01	(-9.27931651373096e+01dB,-5.09561452132414e+00∞)
1.51356124843621e+01	(-9.19893039031528e+01dB,-5.21518176595895e+00∞)
1.54881661891248e+01	(-9.11852594372022e+01dB,-5.33759720323845e+00∞)
1.58489319246111e+01	(-9.03810229816509e+01dB,-5.46293175466867e+00∞)
1.62181009735893e+01	(-8.95765853539891e+01dB,-5.59125832920839e+00∞)
1.65958690743756e+01	(-8.87719369258103e+01dB,-5.72265189455712e+00∞)
1.69824365246174e+01	(-8.79670676005032e+01dB,-5.85718955201703e+00∞)
1.73780082874937e+01	(-8.71619667897625e+01dB,-5.99495061516532e+00∞)
1.77827941003892e+01	(-8.63566233888505e+01dB,-6.13601669259152e+00∞)
1.81970085860998e+01	(-8.55510257505375e+01dB,-6.28047177497495e+00∞)
1.86208713666287e+01	(-8.47451616576405e+01dB,-6.42840232679882e+00∞)
1.90546071796325e+01	(-8.39390182940792e+01dB,-6.57989738302229e+00∞)
1.94984459975804e+01	(-8.31325822143575e+01dB,-6.73504865105696e+00∞)
1.99526231496888e+01	(-8.23258393113771e+01dB,-6.89395061842382e+00∞)
2.04173794466953e+01	(-8.15187747824797e+01dB,-7.05670066649718e+00∞)
2.08929613085404e+01	(-8.07113730936075e+01dB,-7.22339919077664e+00∞)
2.13796208950223e+01	(-7.99036179414669e+01dB,-7.39414972816543e+00∞)
2.18776162394955e+01	(-7.90954922135659e+01dB,-7.56905909177463e+00∞)
2.23872113856834e+01	(-7.82869779459922e+01dB,-7.74823751381769e+00∞)
2.29086765276777e+01	(-7.74780562787851e+01dB,-7.93179879720924e+00∞)
2.34422881531992e+01	(-7.66687074087443e+01dB,-8.11986047653633e+00∞)
2.39883291901949e+01	(-7.58589105395063e+01dB,-8.31254398913111e+00∞)
2.45470891568503e+01	(-7.50486438287071e+01dB,-8.50997485703817e+00∞)
2.51188643150958e+01	(-7.42378843320338e+01dB,-8.71228288074507e+00∞)
2.57039578276886e+01	(-7.34266079439522e+01dB,-8.91960234562308e+00∞)
2.63026799189538e+01	(-7.26147893348814e+01dB,-9.13207224211559e+00∞)
2.69153480392691e+01	(-7.18024018845663e+01dB,-9.34983650080982e+00∞)
2.75422870333816e+01	(-7.09894176113774e+01dB,-9.57304424363736e+00∞)
2.81838293126445e+01	(-7.01758070972477e+01dB,-9.80185005257076e+00∞)
2.88403150312660e+01	(-6.93615394079256e+01dB,-1.00364142573186e+01∞)
2.95120922666638e+01	(-6.85465820082014e+01dB,-1.02769032436728e+01∞)
3.01995172040201e+01	(-6.77309006717294e+01dB,-1.05234897843303e+01∞)
3.09029543251359e+01	(-6.69144593850361e+01dB,-1.07763533941986e+01∞)
3.16227766016838e+01	(-6.60972202452676e+01dB,-1.10356807124074e+01∞)
3.23593656929628e+01	(-6.52791433511864e+01dB,-1.13016659134819e+01∞)
3.31131121482591e+01	(-6.44601866868843e+01dB,-1.15745111504023e+01∞)
3.38844156139202e+01	(-6.36403059976247e+01dB,-1.18544270325684e+01∞)
3.46736850452531e+01	(-6.28194546571720e+01dB,-1.21416331420295e+01∞)
3.54813389233575e+01	(-6.19975835259042e+01dB,-1.24363585917158e+01∞)
3.63078054770101e+01	(-6.11746407989302e+01dB,-1.27388426298402e+01∞)
3.71535229097172e+01	(-6.03505718433614e+01dB,-1.30493352951258e+01∞)
3.80189396320561e+01	(-5.95253190237914e+01dB,-1.33680981280695e+01∞)
3.89045144994280e+01	(-5.86988215149483e+01dB,-1.36954049440810e+01∞)
3.98107170553497e+01	(-5.78710151003648e+01dB,-1.40315426750580e+01∞)
4.07380277804112e+01	(-5.70418319557954e+01dB,-1.43768122867793e+01∞)
4.16869383470335e+01	(-5.62112004159671e+01dB,-1.47315297804415e+01∞)
4.26579518801592e+01	(-5.53790447230916e+01dB,-1.50960272877467e+01∞)
4.36515832240165e+01	(-5.45452847553973e+01dB,-1.54706542701972e+01∞)
4.46683592150962e+01	(-5.37098357337302e+01dB,-1.58557788346891e+01∞)
4.57088189614874e+01	(-5.28726079040566e+01dB,-1.62517891791663e+01∞)
4.67735141287197e+01	(-5.20335061934377e+01dB,-1.66590951840257e+01∞)
4.78630092322638e+01	(-5.11924298367599e+01dB,-1.70781301672130e+01∞)
4.89778819368445e+01	(-5.03492719711724e+01dB,-1.75093528235725e+01∞)
5.01187233627271e+01	(-4.95039191948111e+01dB,-1.79532493720806e+01∞)
5.12861383991364e+01	(-4.86562510859564e+01dB,-1.84103359381953e+01∞)
5.24807460249772e+01	(-4.78061396782872e+01dB,-1.88811612027903e+01∞)
5.37031796370252e+01	(-4.69534488873334e+01dB,-1.93663093541459e+01∞)
5.49540873857623e+01	(-4.60980338825897e+01dB,-1.98664033853963e+01∞)
5.62341325190348e+01	(-4.52397403990244e+01dB,-2.03821087868740e+01∞)
5.75439937337156e+01	(-4.43784039808730e+01dB,-2.09141376911924e+01∞)
5.88843655355588e+01	(-4.35138491496444e+01dB,-2.14632535389563e+01∞)
6.02559586074357e+01	(-4.26458884871608e+01dB,-2.20302763450638e+01∞)
6.16595001861481e+01	(-4.17743216231746e+01dB,-2.26160886601130e+01∞)
6.30957344480192e+01	(-4.08989341156461e+01dB,-2.32216423390414e+01∞)
6.45654229034654e+01	(-4.00194962100792e+01dB,-2.38479662505267e+01∞)
6.60693448007595e+01	(-3.91357614623826e+01dB,-2.44961750867874e+01∞)
6.76082975391980e+01	(-3.82474652075040e+01dB,-2.51674794654211e+01∞)
6.91830970918935e+01	(-3.73543228535559e+01dB,-2.58631975542917e+01∞)
7.07945784384136e+01	(-3.64560279782597e+01dB,-2.65847684991613e+01∞)
7.24435960074988e+01	(-3.55522502012675e+01dB,-2.73337679942362e+01∞)
7.41310241300916e+01	(-3.46426328022439e+01dB,-2.81119264112636e+01∞)
7.58577575029182e+01	(-3.37267900505155e+01dB,-2.89211499974938e+01∞)
7.76247116628690e+01	(-3.28043042076436e+01dB,-2.97635457721746e+01∞)
7.94328234724279e+01	(-3.18747221595623e+01dB,-3.06414509025237e+01∞)
8.12830516164097e+01	(-3.09375516301307e+01dB,-3.15574675328878e+01∞)
8.31763771102669e+01	(-2.99922569234639e+01dB,-3.25145042877867e+01∞)
8.51138038202374e+01	(-2.90382541388564e+01dB,-3.35158259877754e+01∞)
8.70963589956078e+01	(-2.80749058005977e+01dB,-3.45651135294335e+01∞)
8.91250938133743e+01	(-2.71015148472743e+01dB,-3.56665364181784e+01∞)
9.12010839355907e+01	(-2.61173179342007e+01dB,-3.68248411468554e+01∞)
9.33254300796988e+01	(-2.51214780231578e+01dB,-3.80454595410392e+01∞)
9.54992586021433e+01	(-2.41130762733538e+01dB,-3.93346424210867e+01∞)
9.77237220955808e+01	(-2.30911033189251e+01dB,-4.06996255664623e+01∞)
9.99999999999997e+01	(-2.20544501416189e+01dB,-4.21488371523473e+01∞)
1.02329299228075e+02	(-2.10018989555711e+01dB,-4.36921587534899e+01∞)
1.04712854805090e+02	(-1.99321148683613e+01dB,-4.53412559281025e+01∞)
1.07151930523760e+02	(-1.88436396577516e+01dB,-4.71099996269989e+01∞)
1.09647819614318e+02	(-1.77348899537875e+01dB,-4.90150066031529e+01∞)
1.12201845430196e+02	(-1.66041636853956e+01dB,-5.10763360156748e+01∞)
1.14815362149688e+02	(-1.54496612451809e+01dB,-5.33183907616912e+01∞)
1.17489755493953e+02	(-1.42695321190177e+01dB,-5.57710853646382e+01∞)
1.20226443461741e+02	(-1.30619648236519e+01dB,-5.84713554826760e+01∞)
1.23026877081238e+02	(-1.18253496678686e+01dB,-6.14650911932752e+01∞)
1.25892541179416e+02	(-1.05585627970977e+01dB,-6.48095616631965e+01∞)
1.28824955169313e+02	(-9.26144983976367e+00dB,-6.85763263871348e+01∞)
1.31825673855640e+02	(-7.93563169235898e+00dB,-7.28544184210159e+01∞)
1.34896288259165e+02	(-6.58581174127652e+00dB,-7.77530762761495e+01∞)
1.38038426460288e+02	(-5.22181004405324e+00dB,-8.34022026239836e+01∞)
1.41253754462275e+02	(-3.86150081736291e+00dB,-8.99466460926613e+01∞)
1.44543977074592e+02	(-2.53446370192090e+00dB,-9.75272552599768e+01∞)
1.47910838816820e+02	(-1.28507919779596e+00dB,-1.06239223238278e+02∞)
1.51356124843620e+02	(-1.71787481527481e-01dB,-1.16063241450894e+02∞)
1.54881661891248e+02	(7.42334945451045e-01dB,-1.26788726989318e+02∞)
1.58489319246111e+02	(1.40926634923342e+00dB,-1.37987410588305e+02∞)
1.62181009735892e+02	(1.81697697258566e+00dB,-1.49098937196371e+02∞)
1.65958690743755e+02	(1.99530984150363e+00dB,-1.59604900046657e+02∞)
1.69824365246174e+02	(2.00142922287738e+00dB,-1.69173280867715e+02∞)
1.73780082874937e+02	(1.89755302031943e+00dB,-1.77688655971818e+02∞)
1.77827941003892e+02	(1.73559918914914e+00dB,1.74806462101025e+02∞)
1.81970085860998e+02	(1.55229930131765e+00dB,1.68189646133274e+02∞)
