Freq.	V(n006)
1.50000000000000e+02	-3.51644391808399e-01,-8.66022701292194e-01
1.53493948842113e+02	-5.63611882518026e-01,-8.84284342612889e-01
1.57069282207635e+02	-7.89778422992062e-01,-8.29682641553973e-01
1.60727895785641e+02	-9.92387849012205e-01,-6.99993914347608e-01
1.64471729421478e+02	-1.13982020011133e+00,-5.17123702158093e-01
1.68302768145294e+02	-1.22130658735594e+00,-3.14564552096760e-01
1.72223043224532e+02	-1.24556301990975e+00,-1.20254236053600e-01
1.76234633240929e+02	-1.22965700502742e+00,5.09688672866081e-02
1.80339665192612e+02	-1.18977726522620e+00,1.95270585396791e-01
1.84540315621857e+02	-1.13763534033122e+00,3.14803951877033e-01
1.88838811769125e+02	-1.08048677348665e+00,4.13863485817883e-01
1.93237432753970e+02	-1.02233875616759e+00,4.96873860887057e-01
1.97738510783461e+02	-9.65146838053552e-01,5.67611140436427e-01
2.02344432388748e+02	-9.09676022680972e-01,6.29033824620613e-01
2.07057639690433e+02	-8.56044681615196e-01,6.83354438578166e-01
2.11880631693413e+02	-8.04046274466067e-01,7.32178134273995e-01
2.16815965611889e+02	-7.53332725292342e-01,7.76639817436545e-01
2.21866258225231e+02	-7.03516464068621e-01,8.17518736438130e-01
2.27034187265431e+02	-6.54226058073528e-01,8.55328184956131e-01
2.32322492836872e+02	-6.05135741504654e-01,8.90384087693984e-01
2.37733978869167e+02	-5.55980290326691e-01,9.22857368277347e-01
2.43271514603839e+02	-5.06561543026402e-01,9.52814410479262e-01
2.48938036115634e+02	-4.56749955423726e-01,9.80248916263275e-01
2.54736547869261e+02	-4.06482969039400e-01,1.00510750186265e+00
2.60670124312406e+02	-3.55761117243955e-01,1.02731059182975e+00
2.66741911505838e+02	-3.04642372014529e-01,1.04676958680624e+00
2.72955128791497e+02	-2.53235059970171e-01,1.06340087262334e+00
2.79313070499430e+02	-2.01689637299913e-01,1.07713697718642e+00
2.85819107694487e+02	-1.50189639030086e-01,1.08793503873165e+00
2.92476689963707e+02	-9.89421633738377e-02,1.09578269731583e+00
2.99289347245332e+02	-4.81682875234001e-02,1.10070153479626e+00
3.06260691700429e+02	1.90617976835165e-03,1.10274824220895e+00
3.13394419628106e+02	5.10592281245907e-02,1.10201376449333e+00
3.20694313425334e+02	9.90801345097210e-02,1.09862074147889e+00
3.28164243592433e+02	1.45775670375937e-01,1.09271961628473e+00
3.35808170785251e+02	1.90974883504390e-01,1.08448380882624e+00
3.43630147915166e+02	2.34532411268033e-01,1.07410434979887e+00
3.51634322297988e+02	2.76330374275653e-01,1.06178434119179e+00
3.59824937852923e+02	3.16278975357166e-01,1.04773355863394e+00
3.68206337352754e+02	3.54315983738332e-01,1.03216344628530e+00
3.76782964726436e+02	3.90405316558747e-01,1.01528268458903e+00
3.85559367415329e+02	4.24534941022451e-01,9.97293442193059e-01
3.94540198784307e+02	4.56714313871213e-01,9.78388361286612e-01
4.03730220589037e+02	4.86971555051468e-01,9.58748274054677e-01
4.13134305500724e+02	5.15350524156720e-01,9.38540608582710e-01
4.22757439689667e+02	5.41907935818269e-01,9.17918415395743e-01
4.32604725468990e+02	5.66710617251583e-01,8.97019929781258e-01
4.42681383999957e+02	5.89832980255741e-01,8.75968578320085e-01
4.52992758060302e+02	6.11354752782418e-01,8.54873338537715e-01
4.63544314877038e+02	6.31358992594864e-01,8.33829366206835e-01
4.74341649025256e+02	6.49930387743347e-01,8.12918813712843e-01
4.85390485394441e+02	6.67153835358434e-01,7.92211773492345e-01
4.96696682223886e+02	6.83113281095682e-01,7.71767291681699e-01
5.08266234208803e+02	6.97890795804863e-01,7.51634407922262e-01
5.20105275678796e+02	7.11565862958482e-01,7.31853187211077e-01
5.32220083850362e+02	7.24214849406819e-01,7.12455718451026e-01
5.44617082155151e+02	7.35910632552921e-01,6.93467061813706e-01
5.57302843645758e+02	7.46722358576742e-01,6.74906133180207e-01
5.70284094480841e+02	7.56715308495255e-01,6.56786518850580e-01
5.83567717491420e+02	7.65950851327320e-01,6.39117217540882e-01
5.97160755830245e+02	7.74486466220384e-01,6.21903309567699e-01
6.11070416706168e+02	7.82375817938274e-01,6.05146555208333e-01
6.25304075205502e+02	7.89668872505922e-01,5.88845925667400e-01
6.39869278202387e+02	7.96412041998403e-01,5.72998071009964e-01
6.54773748360247e+02	8.02648349418790e-01,5.57597729953238e-01
6.70025388226443e+02	8.08417606323457e-01,5.42638086640556e-01
6.85632284422311e+02	8.13756597330578e-01,5.28111079533206e-01
7.01602711930795e+02	8.18699266902495e-01,5.14007667412049e-01
7.17945138483956e+02	8.23276904845080e-01,5.00318057232682e-01
7.34668229052667e+02	8.27518327839810e-01,4.87031898264034e-01
7.51780850440906e+02	8.31450055039317e-01,4.74138446590603e-01
7.69292075987045e+02	8.35096476336868e-01,4.61626703694402e-01
7.87211190374657e+02	8.38480012384693e-01,4.49485532469912e-01
8.05547694555377e+02	8.41621265803833e-01,4.37703753674429e-01
8.24311310786434e+02	8.44539163315359e-01,4.26270225484245e-01
8.43511987785521e+02	8.47251088743794e-01,4.15173908518362e-01
8.63159906005733e+02	8.49773007010187e-01,4.04403918407863e-01
8.83265483033381e+02	8.52119579355295e-01,3.93949567731690e-01
9.03839379111534e+02	8.54304270120925e-01,3.83800398907653e-01
9.24892502792220e+02	8.56339445477352e-01,3.73946209420296e-01
9.46436016720287e+02	8.58236464522452e-01,3.64377070583153e-01
9.68481343551980e+02	8.60005763198949e-01,3.55083340870200e-01
9.91040172011391e+02	8.61656931483720e-01,3.46055674708198e-01
1.01412446308797e+03	8.63198784300879e-01,3.37285027496166e-01
1.03774645637840e+03	8.64639426600735e-01,3.28762657508695e-01
1.06191867657620e+03	8.65986313031902e-01,3.20480125244468e-01
1.08665394011248e+03	8.67246302615386e-01,3.12429290698516e-01
1.11196536195137e+03	8.68425708808679e-01,3.04602308965084e-01
1.13786636254377e+03	8.69530345325675e-01,2.96991624515971e-01
1.16437067494303e+03	8.70565568055489e-01,2.89589964445840e-01
1.19149235208642e+03	8.71536313400377e-01,2.82390330929988e-01
1.21924577424614e+03	8.72447133330543e-01,2.75385993100620e-01
1.24764565665400e+03	8.73302227431787e-01,2.68570478513800e-01
1.27670705730356e+03	8.74105472201100e-01,2.61937564350341e-01
1.30644538493412e+03	8.74860447825421e-01,2.55481268469131e-01
1.33687640720061e+03	8.75570462660031e-01,2.49195840410352e-01
1.36801625903386e+03	8.76238575605461e-01,2.43075752428120e-01
1.39988145119548e+03	8.76867616565357e-01,2.37115690616834e-01
1.43248887903215e+03	8.77460205152446e-01,2.31310546182691e-01
1.46585583143371e+03	8.78018767795617e-01,2.25655406900906e-01
1.49999999999999e+03	8.78545553387988e-01,2.20145548790012e-01
1.53493948842113e+03	8.79042647603805e-01,2.14776428026958e-01
1.57069282207634e+03	8.79511986000888e-01,2.09543673120241e-01
1.60727895785640e+03	8.79955366015148e-01,2.04443077352971e-01
1.64471729421477e+03	8.80374457944365e-01,1.99470591503311e-01
1.68302768145294e+03	8.80770815009858e-01,1.94622316846071e-01
1.72223043224532e+03	8.81145882576814e-01,1.89894498436215e-01
1.76234633240929e+03	8.81501006606945e-01,1.85283518672610e-01
1.80000000000000e+03	8.81810569494275e-01,1.81149957289403e-01
