Freq.	V(n006)
1.00000000000000e+01	4.75706865748198e-06,-2.85823236421598e-07
1.02329299228075e+01	5.21663347872559e-06,-3.20779273966429e-07
1.04712854805090e+01	5.72062693501568e-06,-3.60014678934899e-07
1.07151930523761e+01	6.27334886439579e-06,-4.04054085137263e-07
1.09647819614319e+01	6.87951593990933e-06,-4.53486575691816e-07
1.12201845430196e+01	7.54430218110145e-06,-5.08973623439840e-07
1.14815362149688e+01	8.27338341796081e-06,-5.71258013706267e-07
1.17489755493953e+01	9.07298609516019e-06,-6.41173871650263e-07
1.20226443461741e+01	9.94994084284721e-06,-7.19657931787836e-07
1.23026877081238e+01	1.09117412824783e-05,-8.07762204553137e-07
1.25892541179417e+01	1.19666085826713e-05,-9.06668214247224e-07
1.28824955169313e+01	1.31235623312128e-05,-1.01770300468672e-06
1.31825673855641e+01	1.43924983456686e-05,-1.14235713363162e-06
1.34896288259165e+01	1.57842741070514e-05,-1.28230490500563e-06
1.38038426460288e+01	1.73108025692677e-05,-1.43942711943603e-06
1.41253754462275e+01	1.89851551722647e-05,-1.61583665920186e-06
1.44543977074593e+01	2.08216749696296e-05,-1.81390726381805e-06
1.47910838816821e+01	2.28361008726608e-05,-2.03630589780188e-06
1.51356124843621e+01	2.50457041135083e-05,-2.28602916334944e-06
1.54881661891248e+01	2.74694381408504e-05,-2.56644426846846e-06
1.58489319246111e+01	3.01281032838055e-05,-2.88133512645258e-06
1.62181009735893e+01	3.30445276545772e-05,-3.23495423644102e-06
1.65958690743756e+01	3.62437659090224e-05,-3.63208107832780e-06
1.69824365246174e+01	3.97533176483900e-05,-4.07808784976193e-06
1.73780082874937e+01	4.36033674265328e-05,-4.57901347989196e-06
1.77827941003892e+01	4.78270485267751e-05,-5.14164697553826e-06
1.81970085860998e+01	5.24607328933250e-05,-5.77362129254340e-06
1.86208713666287e+01	5.75443498459134e-05,-6.48351908034507e-06
1.90546071796325e+01	6.31217364757009e-05,-7.28099182383881e-06
1.94984459975804e+01	6.92410229182060e-05,-8.17689410620609e-06
1.99526231496888e+01	7.59550560281527e-05,-9.18343494284632e-06
2.04173794466953e+01	8.33218653451659e-05,-1.03143483936086e-05
2.08929613085404e+01	9.14051756419759e-05,-1.15850859524556e-05
2.13796208950223e+01	1.00274970792523e-04,-1.30130335454193e-05
2.18776162394955e+01	1.10008114190827e-04,-1.46177563448610e-05
2.23872113856834e+01	1.20689031498044e-04,-1.64212750371014e-05
2.29086765276777e+01	1.32410462100696e-04,-1.84483776688733e-05
2.34422881531992e+01	1.45274286334291e-04,-2.07269717543433e-05
2.39883291901949e+01	1.59392436270822e-04,-2.32884819584922e-05
2.45470891568503e+01	1.74887898694309e-04,-2.61682993958234e-05
2.51188643150958e+01	1.91895819804843e-04,-2.94062894087957e-05
2.57039578276886e+01	2.10564722208903e-04,-3.30473656332177e-05
2.63026799189538e+01	2.31057845883770e-04,-3.71421392356457e-05
2.69153480392691e+01	2.53554626059504e-04,-4.17476534408990e-05
2.75422870333816e+01	2.78252322358005e-04,-4.69282148797338e-05
2.81838293126445e+01	3.05367815081367e-04,-5.27563349048392e-05
2.88403150312660e+01	3.35139586269503e-04,-5.93137958794649e-05
2.95120922666638e+01	3.67829905070441e-04,-6.66928595742050e-05
3.01995172040201e+01	4.03727239108964e-04,-7.49976372569279e-05
3.09029543251359e+01	4.43148915926263e-04,-8.43456438789964e-05
3.16227766016838e+01	4.86444061224200e-04,-9.48695620067488e-05
3.23593656929628e+01	5.33996843615340e-04,-1.06719244889767e-04
3.31131121482591e+01	5.86230058890767e-04,-1.20063992377813e-04
3.38844156139202e+01	6.43609090513128e-04,-1.35095138391655e-04
3.46736850452531e+01	7.06646287168376e-04,-1.52028994431448e-04
3.54813389233575e+01	7.75905802818259e-04,-1.71110200302053e-04
3.63078054770101e+01	8.52008949844440e-04,-1.92615541003795e-04
3.71535229097172e+01	9.35640121629152e-04,-2.16858297764550e-04
3.80189396320561e+01	1.02755334734868e-03,-2.44193211693782e-04
3.89045144994280e+01	1.12857954894518e-03,-2.75022150781800e-04
3.98107170553497e+01	1.23963457827901e-03,-3.09800585258106e-04
4.07380277804112e+01	1.36172812144595e-03,-3.49044993031375e-04
4.16869383470335e+01	1.49597356728194e-03,-3.93341336503044e-04
4.26579518801592e+01	1.64359894828884e-03,-4.43354775007239e-04
4.36515832240165e+01	1.80595907473081e-03,-4.99840804119441e-04
4.46683592150962e+01	1.98454899660791e-03,-5.63658044862953e-04
4.57088189614874e+01	2.18101894376171e-03,-6.35782943353165e-04
4.67735141287197e+01	2.39719091165772e-03,-7.17326685777968e-04
