time	V(n006)
0.000000000000000e+00	2.979555e-05
1.142857110534936e-09	1.287847e-04
2.285714221069872e-09	2.275471e-04
3.428571331604808e-09	3.260828e-04
4.571428442139744e-09	4.243917e-04
5.714285552674679e-09	5.224738e-04
6.857142663209616e-09	6.203292e-04
7.999999773744548e-09	7.179578e-04
1.599999954748910e-08	1.395584e-03
2.869145844191534e-08	2.451781e-03
4.227367034833408e-08	3.552687e-03
5.838363919778732e-08	4.801301e-03
8.555690293745000e-08	6.753776e-03
1.197415721791261e-07	8.871047e-03
1.698212245208606e-07	1.112923e-02
2.348360425441640e-07	1.221824e-02
3.305589239618243e-07	9.562986e-03
4.649107981607003e-07	-1.577304e-03
6.052988034002752e-07	-2.056965e-02
7.447319946175542e-07	-4.385601e-02
8.597461949293683e-07	-6.292966e-02
9.783371847212966e-07	-7.834958e-02
1.122133142953918e-06	-8.757634e-02
1.276527968536687e-06	-8.413280e-02
1.433346511188943e-06	-6.637581e-02
1.590588449892040e-06	-3.687355e-02
1.751675534152015e-06	4.006303e-04
1.890148825483860e-06	3.412923e-02
2.018721288379848e-06	6.395379e-02
2.162080961230140e-06	9.377187e-02
2.304862400661095e-06	1.199920e-01
2.411584736507316e-06	1.376507e-01
2.533546385785723e-06	1.569079e-01
2.674911414058364e-06	1.798011e-01
2.812758870588533e-06	2.040479e-01
2.988481261709925e-06	2.381767e-01
3.193069674533589e-06	2.804672e-01
3.325678626960197e-06	3.078385e-01
3.446422002166599e-06	3.309834e-01
3.569909556066679e-06	3.511491e-01
3.726428187101494e-06	3.703103e-01
3.919319175095525e-06	3.841555e-01
4.163248924823340e-06	3.903411e-01
4.317828385624136e-06	3.892731e-01
4.447365638811149e-06	3.862427e-01
4.583194412114090e-06	3.827012e-01
4.733972081005885e-06	3.792070e-01
4.900899578946134e-06	3.760396e-01
4.996658936386933e-06	3.745229e-01
5.102698864371962e-06	3.729469e-01
5.228565081902899e-06	3.709067e-01
5.365225741522009e-06	3.683387e-01
5.514596934482879e-06	3.652474e-01
5.710578739273712e-06	3.616032e-01
5.898816271961493e-06	3.601359e-01
6.119054961179654e-06	3.632308e-01
6.351354958186499e-06	3.740010e-01
6.631334170742894e-06	3.971252e-01
6.934884614633336e-06	4.310366e-01
7.178811310037138e-06	4.624190e-01
7.474000813061988e-06	5.019394e-01
7.757785127080988e-06	5.393552e-01
8.026973681211607e-06	5.733938e-01
8.297471567509283e-06	6.049826e-01
8.582810095027738e-06	6.341295e-01
8.795493646396363e-06	6.514840e-01
9.031165417974854e-06	6.650655e-01
9.279135438246195e-06	6.736047e-01
9.545407346095188e-06	6.776723e-01
9.749658947028059e-06	6.781785e-01
9.972098716606199e-06	6.772462e-01
1.021351698716003e-05	6.758696e-01
1.046080099164662e-05	6.749415e-01
1.073213215997202e-05	6.754600e-01
1.104577391470975e-05	6.795118e-01
1.143639891470975e-05	6.910621e-01
1.182702391470975e-05	7.103451e-01
1.221764891470975e-05	7.363488e-01
1.260827391470975e-05	7.658005e-01
1.293563236756190e-05	7.902566e-01
1.328960003553990e-05	8.137196e-01
1.368022503553990e-05	8.342155e-01
1.407085003553990e-05	8.478909e-01
1.446147503553990e-05	8.543431e-01
1.485210003553990e-05	8.546574e-01
1.524272503553990e-05	8.511707e-01
1.559370600343703e-05	8.471274e-01
1.596505592551267e-05	8.441524e-01
1.635568092551267e-05	8.439491e-01
1.674630592551267e-05	8.473415e-01
1.713693092551267e-05	8.541166e-01
1.752755592551268e-05	8.631683e-01
1.791818092551268e-05	8.727003e-01
1.830880592551268e-05	8.806555e-01
1.869943092551268e-05	8.852869e-01
1.909005592551268e-05	8.855756e-01
1.948068092551268e-05	8.813399e-01
1.987130592551268e-05	8.731264e-01
2.026193092551268e-05	8.620293e-01
2.065255592551268e-05	8.494671e-01
2.104318092551269e-05	8.368796e-01
2.143380592551269e-05	8.253826e-01
2.182443092551269e-05	8.155158e-01
2.221505592551269e-05	8.071836e-01
2.260568092551269e-05	7.997686e-01
2.299630592551269e-05	7.923263e-01
2.338693092551269e-05	7.837994e-01
2.377755592551269e-05	7.732389e-01
2.416818092551269e-05	7.600098e-01
2.455880592551269e-05	7.439250e-01
2.494943092551270e-05	7.252553e-01
2.534005592551270e-05	7.046219e-01
2.573068092551270e-05	6.828249e-01
2.612130592551270e-05	6.606643e-01
2.651193092551270e-05	6.387822e-01
2.690255592551270e-05	6.175438e-01
2.729318092551270e-05	5.969787e-01
2.768380592551270e-05	5.768043e-01
2.807443092551270e-05	5.565234e-01
2.846505592551270e-05	5.355614e-01
2.885568092551271e-05	5.134037e-01
2.924630592551271e-05	4.897027e-01
2.963693092551271e-05	4.643426e-01
3.002755592551271e-05	4.374529e-01
3.041818092551271e-05	4.093688e-01
3.080880592551271e-05	3.805462e-01
3.119943092551270e-05	3.514569e-01
3.159005592551270e-05	3.224902e-01
3.198068092551270e-05	2.938847e-01
3.237130592551270e-05	2.656978e-01
3.276193092551270e-05	2.378159e-01
3.315255592551269e-05	2.099991e-01
3.354318092551269e-05	1.819510e-01
3.393380592551269e-05	1.533962e-01
3.432443092551269e-05	1.241462e-01
3.471505592551268e-05	9.413966e-02
3.510568092551268e-05	6.345099e-02
3.549630592551268e-05	3.227011e-02
3.588693092551268e-05	8.592220e-04
3.627755592551267e-05	-3.050237e-02
3.666818092551267e-05	-6.157301e-02
3.705880592551267e-05	-9.219071e-02
3.744943092551267e-05	-1.222938e-01
3.784005592551266e-05	-1.519179e-01
3.862130592551266e-05	-2.102000e-01
3.901193092551266e-05	-2.391425e-01
3.940255592551266e-05	-2.680960e-01
3.979318092551265e-05	-2.970898e-01
4.018380592551265e-05	-3.260781e-01
4.057443092551265e-05	-3.549493e-01
4.096505592551265e-05	-3.835488e-01
4.135568092551264e-05	-4.117094e-01
4.174630592551264e-05	-4.392816e-01
4.213693092551264e-05	-4.661574e-01
4.252755592551264e-05	-4.922839e-01
4.291818092551263e-05	-5.176629e-01
4.369943092551263e-05	-5.663840e-01
4.409005592551263e-05	-5.898641e-01
4.448068092551262e-05	-6.128290e-01
4.487130592551262e-05	-6.352921e-01
4.526193092551262e-05	-6.572261e-01
4.565255592551262e-05	-6.785670e-01
4.643380592551261e-05	-7.191039e-01
4.682443092551261e-05	-7.381126e-01
4.721505592551261e-05	-7.561843e-01
4.760568092551261e-05	-7.732821e-01
4.799630592551260e-05	-7.894001e-01
4.916818092551260e-05	-8.321393e-01
4.955880592551259e-05	-8.446281e-01
4.994943092551259e-05	-8.562690e-01
5.034005592551259e-05	-8.670508e-01
5.073068092551259e-05	-8.769422e-01
5.112130592551258e-05	-8.858974e-01
5.151193092551258e-05	-8.938657e-01
5.190255592551258e-05	-9.008000e-01
5.229318092551258e-05	-9.066654e-01
5.268380592551257e-05	-9.114441e-01
5.307443092551257e-05	-9.151362e-01
5.346505592551257e-05	-9.177570e-01
5.385568092551257e-05	-9.193319e-01
5.424630592551257e-05	-9.198892e-01
5.463693092551256e-05	-9.194534e-01
5.541818092551256e-05	-9.156542e-01
5.619943092551255e-05	-9.079299e-01
5.737130592551255e-05	-8.887353e-01
5.815255592551254e-05	-8.707880e-01
5.893380592551254e-05	-8.488441e-01
6.010568092551253e-05	-8.089160e-01
6.060791306836967e-05	-7.893055e-01
6.111014521122681e-05	-7.683371e-01
6.161237735408395e-05	-7.460108e-01
6.211460949694109e-05	-7.223267e-01
6.261684163979823e-05	-6.972848e-01
6.311907378265538e-05	-6.708849e-01
6.362130592551251e-05	-6.431272e-01
6.479318092551250e-05	-5.740637e-01
6.551862735408393e-05	-5.280178e-01
6.624407378265534e-05	-4.804513e-01
6.696952021122677e-05	-4.313640e-01
6.769496663979820e-05	-3.807560e-01
6.842041306836963e-05	-3.286273e-01
6.914585949694104e-05	-2.749778e-01
6.987130592551247e-05	-2.198076e-01
7.020612735408390e-05	-1.942572e-01
7.054094878265532e-05	-1.686202e-01
7.087577021122675e-05	-1.428966e-01
7.121059163979818e-05	-1.170863e-01
7.154541306836961e-05	-9.118946e-02
7.188023449694103e-05	-6.520600e-02
7.221505592551246e-05	-3.913593e-02
7.338693092551245e-05	5.193261e-02
7.455880592551244e-05	1.422737e-01
7.573068092551244e-05	2.308969e-01
7.690255592551243e-05	3.168671e-01
7.746059163979814e-05	3.568485e-01
7.801862735408385e-05	3.957243e-01
7.857666306836957e-05	4.334943e-01
7.913469878265527e-05	4.701587e-01
7.969273449694098e-05	5.057173e-01
8.025077021122669e-05	5.401703e-01
8.080880592551240e-05	5.735176e-01
8.198068092551240e-05	6.384393e-01
8.315255592551239e-05	6.965414e-01
8.432443092551238e-05	7.472397e-01
8.549630592551238e-05	7.899988e-01
8.666818092551237e-05	8.243632e-01
8.784005592551236e-05	8.499848e-01
8.901193092551236e-05	8.666117e-01
9.018380592551235e-05	8.740709e-01
9.096505592551234e-05	8.739035e-01
9.213693092551234e-05	8.659417e-01
9.330880592551233e-05	8.488134e-01
9.448068092551232e-05	8.227007e-01
9.565255592551231e-05	7.878699e-01
9.682443092551231e-05	7.446758e-01
9.799630592551230e-05	6.935653e-01
9.916818092551229e-05	6.350701e-01
1.003400559255123e-04	5.697936e-01
1.015119309255123e-04	4.984063e-01
1.021815737826551e-04	4.547549e-01
1.028512166397980e-04	4.098857e-01
1.035208594969408e-04	3.637987e-01
1.041905023540837e-04	3.164940e-01
1.048601452112265e-04	2.679716e-01
1.055297880683694e-04	2.182315e-01
1.061994309255123e-04	1.672736e-01
1.073713059255122e-04	7.737043e-02
1.081525559255122e-04	1.680563e-02
1.084315737826551e-04	-4.914276e-03
1.087105916397980e-04	-2.661259e-02
1.089896094969408e-04	-4.828932e-02
1.092686273540837e-04	-6.994445e-02
1.095476452112265e-04	-9.157800e-02
