time	V(n006)
0.000000000000000e+00	2.979555e-05
3.571428613164635e-09	3.289676e-05
7.142857226329270e-09	3.597354e-05
1.071428583949390e-08	3.902591e-05
1.428571445265854e-08	4.205386e-05
1.785714306582317e-08	4.505739e-05
2.142857167898781e-08	4.803650e-05
2.500000029215244e-08	5.099120e-05
5.000000058430487e-08	7.106920e-05
7.710520295030060e-08	9.121710e-05
1.164733904079916e-07	1.165404e-04
1.633134190144285e-07	1.387489e-04
2.311268735206175e-07	1.529803e-04
3.115485774738307e-07	1.375948e-04
4.276147782853369e-07	5.437456e-05
5.668367097584449e-07	-1.200380e-04
7.224986369465771e-07	-3.701844e-04
8.944835861366713e-07	-6.308827e-04
1.100808819382471e-06	-8.114061e-04
1.305612496478443e-06	-7.781646e-04
1.492385007950783e-06	-5.443227e-04
1.662588152949844e-06	-1.947772e-04
1.857005072941372e-06	2.723238e-04
2.052659955232099e-06	7.225684e-04
2.335923480840608e-06	1.279768e-03
2.633251680457523e-06	1.790347e-03
2.955694306809416e-06	2.351377e-03
3.301242813834062e-06	2.990718e-03
3.690148332590695e-06	3.612334e-03
4.094088112524848e-06	3.982129e-03
4.388992240722924e-06	4.023822e-03
4.729244975224446e-06	3.928165e-03
5.092613642029877e-06	3.837366e-03
5.486268097094748e-06	3.815583e-03
5.946537071463770e-06	3.878846e-03
6.428741767786994e-06	4.095538e-03
7.023266410822146e-06	4.669521e-03
7.647708568228844e-06	5.541953e-03
8.294692445459108e-06	6.428834e-03
9.142798883678482e-06	7.263217e-03
9.880842432601890e-06	7.685224e-03
1.060661061636468e-05	7.916090e-03
1.135736735904419e-05	8.198540e-03
1.216871557481056e-05	8.784223e-03
1.310820471226710e-05	9.745188e-03
1.412494012116984e-05	1.076680e-02
1.510772520919684e-05	1.151619e-02
1.601032894824735e-05	1.200813e-02
1.704147016575107e-05	1.258155e-02
1.812015217241504e-05	1.340877e-02
1.943847258414183e-05	1.457119e-02
2.090599094646433e-05	1.570771e-02
2.218507124819181e-05	1.653589e-02
2.373111058385970e-05	1.758633e-02
2.516227725044403e-05	1.870991e-02
2.689577071420962e-05	2.004215e-02
2.870558568694422e-05	2.128475e-02
3.076394266946941e-05	2.273384e-02
3.298587679505753e-05	2.438411e-02
3.547679005678105e-05	2.615496e-02
3.868777922052344e-05	2.839242e-02
4.189795064967777e-05	3.066966e-02
4.570833461275452e-05	3.331661e-02
5.268090172808476e-05	3.807923e-02
5.946574154260109e-05	4.265380e-02
6.747260231465510e-05	4.792574e-02
7.778239911609973e-05	5.455558e-02
9.068946214830710e-05	6.255367e-02
1.114456014841139e-04	7.470166e-02
1.467541016584215e-04	9.371942e-02
1.858166016584215e-04	1.125223e-01
2.248791016584215e-04	1.288250e-01
2.639416016584215e-04	1.426237e-01
3.030041016584215e-04	1.539853e-01
3.420666016584215e-04	1.629853e-01
3.811291016584214e-04	1.697049e-01
4.201916016584214e-04	1.742320e-01
4.592541016584214e-04	1.766591e-01
4.983166016584214e-04	1.770838e-01
5.373791016584214e-04	1.756070e-01
5.764416016584215e-04	1.723332e-01
6.155041016584215e-04	1.673692e-01
6.545666016584215e-04	1.608237e-01
6.936291016584216e-04	1.528072e-01
7.326916016584216e-04	1.434306e-01
7.717541016584216e-04	1.328055e-01
8.108166016584217e-04	1.210434e-01
8.498791016584217e-04	1.082552e-01
8.889416016584217e-04	9.455082e-02
9.280041016584218e-04	8.003926e-02
9.670666016584218e-04	6.482728e-02
1.006129101658422e-03	4.902040e-02
1.045191601658422e-03	3.272111e-02
1.084254101658422e-03	1.603021e-02
1.123316601658422e-03	-9.551312e-04
1.162379101658422e-03	-1.813977e-02
1.201441601658422e-03	-3.543277e-02
1.240504101658422e-03	-5.274542e-02
1.318629101658422e-03	-8.709578e-02
1.396754101658422e-03	-1.205576e-01
1.474879101658422e-03	-1.525583e-01
1.553004101658422e-03	-1.825882e-01
1.631129101658422e-03	-2.102014e-01
1.709254101658422e-03	-2.350158e-01
1.787379101658423e-03	-2.567124e-01
1.826441601658423e-03	-2.663089e-01
1.865504101658423e-03	-2.750340e-01
1.904566601658423e-03	-2.828653e-01
1.943629101658423e-03	-2.897831e-01
2.021754101658423e-03	-3.008194e-01
2.099879101658423e-03	-3.080572e-01
2.178004101658423e-03	-3.114620e-01
2.256129101658423e-03	-3.110472e-01
2.334254101658423e-03	-3.068705e-01
2.412379101658423e-03	-2.990302e-01
2.490504101658423e-03	-2.876616e-01
2.568629101658423e-03	-2.729331e-01
2.646754101658423e-03	-2.550423e-01
2.724879101658423e-03	-2.342129e-01
2.803004101658423e-03	-2.106904e-01
2.881129101658424e-03	-1.847392e-01
2.959254101658424e-03	-1.566388e-01
3.037379101658424e-03	-1.266808e-01
3.115504101658424e-03	-9.516577e-02
3.154566601658424e-03	-7.891989e-02
3.193629101658424e-03	-6.240020e-02
3.232691601658424e-03	-4.564512e-02
3.310816601658424e-03	-1.158484e-02
3.349879101658424e-03	5.642919e-03
3.428004101658424e-03	4.030159e-02
3.545191601658424e-03	9.222913e-02
3.662379101658424e-03	1.431991e-01
3.740504101658424e-03	1.761746e-01
3.779566601658424e-03	1.922593e-01
3.857691601658424e-03	2.234616e-01
3.974879101658424e-03	2.673898e-01
4.092066601658425e-03	3.071896e-01
4.209254101658425e-03	3.421775e-01
4.326441601658425e-03	3.717626e-01
4.404566601658425e-03	3.882372e-01
4.482691601658425e-03	4.019689e-01
4.560816601658425e-03	4.128576e-01
4.638941601658425e-03	4.208242e-01
4.756129101658425e-03	4.271735e-01
4.873316601658425e-03	4.267142e-01
4.990504101658425e-03	4.194443e-01
5.107691601658425e-03	4.054648e-01
5.224879101658426e-03	3.849768e-01
5.342066601658426e-03	3.582769e-01
5.459254101658426e-03	3.257513e-01
5.576441601658426e-03	2.878695e-01
5.693629101658426e-03	2.451764e-01
5.810816601658426e-03	1.982846e-01
5.928004101658426e-03	1.478640e-01
6.045191601658426e-03	9.463379e-02
6.123316601658426e-03	5.795842e-02
6.201441601658426e-03	2.060151e-02
6.240504101658426e-03	1.740903e-03
6.357691601658427e-03	-5.521249e-02
6.474879101658427e-03	-1.120962e-01
6.592066601658427e-03	-1.681061e-01
6.709254101658427e-03	-2.224511e-01
6.826441601658427e-03	-2.743632e-01
6.943629101658427e-03	-3.231082e-01
7.060816601658427e-03	-3.679954e-01
7.178004101658427e-03	-4.083863e-01
7.295191601658427e-03	-4.437040e-01
7.412379101658428e-03	-4.734394e-01
7.529566601658428e-03	-4.971591e-01
7.646754101658428e-03	-5.145097e-01
7.763941601658428e-03	-5.252237e-01
7.881129101658427e-03	-5.291216e-01
7.998316601658425e-03	-5.261147e-01
8.115504101658422e-03	-5.162058e-01
