time	V(n006)
0.000000000000000e+00	2.979555e-05
3.063978402774466e-08	3.250509e-05
6.127956805548932e-08	3.488907e-05
9.191935208323398e-08	3.694750e-05
1.225591361109786e-07	3.868038e-05
1.531989201387233e-07	4.008771e-05
1.838387041664680e-07	4.116949e-05
2.144784881942126e-07	4.192572e-05
2.960255503582813e-07	4.087427e-05
4.258602005075260e-07	3.179521e-05
5.994473816344359e-07	9.898772e-06
7.346032343110572e-07	-1.206176e-05
8.790138717542818e-07	-3.531808e-05
1.029778303579953e-06	-5.233114e-05
1.201459768402673e-06	-5.689573e-05
1.391037790267191e-06	-4.095241e-05
1.650530177542363e-06	5.961932e-06
1.867348238102652e-06	5.601411e-05
2.088565489520771e-06	1.071544e-04
2.299131888961372e-06	1.487598e-04
2.628643335952786e-06	2.052260e-04
2.979091154182330e-06	2.662671e-04
3.351687894898371e-06	3.339603e-04
3.769043809654123e-06	3.958080e-04
4.217214157990965e-06	4.276362e-04
4.566134155336660e-06	4.265332e-04
5.038241052740162e-06	4.135083e-04
5.562929465742818e-06	4.105966e-04
6.215306763472272e-06	4.280452e-04
6.795252977428346e-06	4.680978e-04
7.427608097537861e-06	5.447346e-04
8.104069693172551e-06	6.437161e-04
8.763610312283073e-06	7.239205e-04
9.455394322233650e-06	7.760390e-04
1.016815583506881e-05	8.059585e-04
1.093283106136784e-05	8.310673e-04
1.186844943597335e-05	8.818902e-04
1.283216993102534e-05	9.701629e-04
1.376758553763337e-05	1.068005e-03
1.492859888466917e-05	1.166843e-03
1.579669351544369e-05	1.219022e-03
1.697733893238219e-05	1.283807e-03
1.821893917414413e-05	1.375030e-03
1.950943884017930e-05	1.488670e-03
2.088827220823674e-05	1.597828e-03
2.216499355430437e-05	1.680624e-03
2.375274652849034e-05	1.787138e-03
2.523013007472573e-05	1.902177e-03
2.698571478386445e-05	2.037983e-03
2.872694584933111e-05	2.157717e-03
3.070223633928484e-05	2.295479e-03
3.292286537015960e-05	2.460726e-03
3.538583096399376e-05	2.636541e-03
3.835819544132475e-05	2.843120e-03
4.140035397969776e-05	3.059145e-03
4.537230100602144e-05	3.335990e-03
5.069838040085012e-05	3.701345e-03
6.238031683531682e-05	4.487802e-03
7.069995143980542e-05	5.031912e-03
8.373082769484598e-05	5.854353e-03
1.095194116165268e-04	7.390860e-03
1.448566497705142e-04	9.305840e-03
2.007651242919860e-04	1.185402e-02
2.989355631196650e-04	1.503565e-02
4.660015922344304e-04	1.763251e-02
6.596616686709403e-04	1.701687e-02
9.117860238711479e-04	1.208334e-02
1.156118477717167e-03	4.825210e-03
1.383513582493889e-03	-2.770195e-03
1.593355851443451e-03	-9.305704e-03
1.845089948809216e-03	-1.543577e-02
2.162043935793759e-03	-2.013145e-02
2.455713731616224e-03	-2.130669e-02
2.756712580083696e-03	-1.945836e-02
3.055084738031913e-03	-1.534373e-02
3.346235948166875e-03	-9.912219e-03
3.622572039102758e-03	-4.199697e-03
3.966257071894454e-03	2.672249e-03
4.334431085707493e-03	8.857380e-03
4.725056085707493e-03	1.339629e-02
5.115681085707494e-03	1.549200e-02
5.506306085707494e-03	1.514925e-02
5.883521341283404e-03	1.279950e-02
6.273426890772556e-03	8.858853e-03
6.664051890772556e-03	4.104483e-03
7.054676890772557e-03	-7.339177e-04
7.445301890772557e-03	-4.987901e-03
7.835926890772556e-03	-8.136152e-03
8.226551890772557e-03	-9.857983e-03
