time	V(n006)
0.000000000000000e+00	2.979555e-05
8.595793347482758e-10	8.592023e-02
1.719158669496552e-09	1.716904e-01
2.578738004244827e-09	2.573404e-01
3.438317338993103e-09	3.428701e-01
4.297896673741379e-09	4.282796e-01
5.157476008489655e-09	5.135689e-01
6.017055343237929e-09	5.987379e-01
8.111611846058735e-09	8.058158e-01
1.000000000000000e-08	9.920939e-01
1.132187170775889e-08	8.579862e-01
1.283258223091190e-08	7.051292e-01
1.618352755838800e-08	3.668662e-01
1.816067324540845e-08	1.682677e-01
2.000000000000000e-08	-1.612469e-02
2.128752872821408e-08	-1.621015e-02
2.275899013188732e-08	-1.632359e-02
2.570191293923379e-08	-1.659531e-02
3.158775855392674e-08	-1.728207e-02
4.335944978331263e-08	-1.898402e-02
5.621168813955696e-08	-2.114609e-02
6.652848135684287e-08	-2.304541e-02
7.605317788002129e-08	-2.486741e-02
8.478161163421895e-08	-2.655283e-02
9.421821780215151e-08	-2.836650e-02
1.031467883072225e-07	-3.005854e-02
1.122129878121655e-07	-3.173894e-02
1.227344520374467e-07	-3.362537e-02
1.376524397924502e-07	-3.617234e-02
1.559620916808191e-07	-3.907190e-02
1.803527101372088e-07	-4.250696e-02
2.114277894519472e-07	-4.609645e-02
2.570064268928617e-07	-4.962457e-02
3.268945362562491e-07	-5.123510e-02
4.214833743376143e-07	-4.715575e-02
5.182768010533434e-07	-3.620481e-02
6.352431716321215e-07	-1.630883e-02
7.428368905536485e-07	5.132358e-03
8.537910053266531e-07	2.710476e-02
9.541412612131829e-07	4.389809e-02
1.055205906512955e-06	5.526281e-02
1.179167784274258e-06	6.121668e-02
1.272632633309053e-06	5.970418e-02
1.359352372692291e-06	5.343218e-02
1.446824656172085e-06	4.362388e-02
1.545456551829797e-06	3.014733e-02
1.641902679761720e-06	1.623916e-02
1.739954748711710e-06	3.046687e-03
1.840473054095024e-06	-7.844912e-03
1.952703628886126e-06	-1.564045e-02
2.072161393205038e-06	-1.878830e-02
2.168909069468313e-06	-1.738561e-02
2.272369255750203e-06	-1.262664e-02
2.366519470632718e-06	-6.587087e-03
2.442870822456678e-06	-1.149906e-03
2.519347792792229e-06	4.088301e-03
2.596198936347494e-06	8.458593e-03
2.696595135430783e-06	1.214590e-02
